year,city_temp,global_temp
1743,13.81,
1744,16.98,
1745,10.78,
1746,,
1747,,
1748,,
1749,,
1750,16.52,8.72
1751,16.78,7.98
1752,13.09,5.78
1753,16.17,8.39
1754,16.09,8.47
1755,15.80,8.36
1756,16.11,8.85
1757,15.88,9.02
1758,15.04,6.74
1759,16.19,7.99
1760,15.91,7.19
1761,16.25,8.77
1762,16.13,8.61
1763,15.65,7.50
1764,16.21,8.40
1765,16.19,8.25
1766,16.06,8.41
1767,15.97,8.22
1768,15.49,6.78
1769,15.94,7.69
1770,15.80,7.69
1771,16.30,7.85
1772,17.21,8.19
1773,15.84,8.22
1774,16.33,8.77
1775,16.55,9.18
1776,16.10,8.30
1777,15.87,8.26
1778,16.38,8.54
1779,16.55,8.98
1780,16.78,9.43
1781,16.65,8.10
1782,15.55,7.90
1783,16.26,7.68
1784,15.83,7.86
1785,15.68,7.36
1786,16.03,8.26
1787,16.25,8.03
1788,16.67,8.45
1789,15.46,8.33
1790,16.36,7.98
1791,16.41,8.23
1792,16.22,8.09
1793,16.15,8.23
1794,16.28,8.53
1795,16.10,8.35
1796,16.07,8.27
1797,16.02,8.51
1798,16.19,8.67
1799,15.63,8.51
1800,16.63,8.48
1801,16.49,8.59
1802,16.72,8.58
1803,16.26,8.50
1804,16.71,8.84
1805,15.44,8.56
1806,16.40,8.43
1807,16.01,8.28
1808,14.96,7.63
1809,15.41,7.08
1810,15.40,6.92
1811,16.02,6.86
1812,15.00,7.05
1813,15.39,7.74
1814,14.86,7.59
1815,15.64,7.24
1816,14.81,6.94
1817,15.96,6.98
1818,16.29,7.83
1819,15.89,7.37
1820,15.73,7.62
1821,16.17,8.09
1822,16.70,8.19
1823,15.71,7.72
1824,16.05,8.55
1825,16.33,8.39
1826,15.95,8.36
1827,15.86,8.81
1828,16.53,8.17
1829,15.30,7.94
1830,15.97,8.52
1831,16.23,7.64
1832,15.92,7.45
1833,15.83,8.01
1834,16.68,8.15
1835,15.43,7.39
1836,15.50,7.70
1837,15.45,7.38
1838,15.86,7.51
1839,15.93,7.63
1840,15.77,7.80
1841,16.07,7.69
1842,15.88,8.02
1843,15.98,8.17
1844,15.95,7.65
1845,15.70,7.85
1846,16.64,8.55
1847,15.84,8.09
1848,15.66,7.98
1849,16.04,7.98
1850,15.65,7.90
1851,15.37,8.18
1852,16.39,8.10
1853,15.23,8.04
1854,15.62,8.21
1855,15.35,8.11
1856,16.21,8.00
1857,15.82,7.76
1858,16.20,8.10
1859,16.08,8.25
1860,15.01,7.96
1861,15.91,7.85
1862,16.41,7.56
1863,16.02,8.11
1864,15.97,7.98
1865,16.20,8.18
1866,16.53,8.29
1867,16.38,8.44
1868,16.30,8.25
1869,16.00,8.43
1870,15.90,8.20
1871,15.46,8.12
1872,15.93,8.19
1873,15.87,8.35
1874,15.87,8.43
1875,15.92,7.86
1876,16.19,8.08
1877,16.22,8.54
1878,16.22,8.83
1879,15.46,8.17
1880,16.25,8.12
1881,16.47,8.27
1882,16.29,8.13
1883,15.47,7.98
1884,15.65,7.77
1885,15.54,7.92
1886,15.51,7.95
1887,14.90,7.91
1888,15.24,8.09
1889,15.28,8.32
1890,15.14,7.97
1891,15.52,8.02
1892,15.97,8.07
1893,16.27,8.06
1894,15.83,8.16
1895,16.31,8.15
1896,15.42,8.21
1897,16.64,8.29
1898,16.16,8.18
1899,16.73,8.40
1900,16.24,8.50
1901,15.51,8.54
1902,15.99,8.30
1903,15.65,8.22
1904,16.40,8.09
1905,15.75,8.23
1906,15.76,8.38
1907,15.83,7.95
1908,16.05,8.19
1909,15.32,8.18
1910,15.62,8.22
1911,16.30,8.18
1912,15.80,8.17
1913,16.32,8.30
1914,15.81,8.59
1915,15.83,8.59
1916,15.97,8.23
1917,15.22,8.02
1918,15.41,8.13
1919,15.30,8.38
1920,16.28,8.36
1921,16.28,8.57
1922,15.94,8.41
1923,16.03,8.42
1924,16.15,8.51
1925,15.49,8.53
1926,16.61,8.73
1927,16.57,8.52
1928,16.74,8.63
1929,16.18,8.24
1930,16.50,8.63
1931,16.15,8.72
1932,15.84,8.71
1933,16.09,8.34
1934,16.37,8.63
1935,16.10,8.52
1936,16.03,8.55
1937,16.91,8.70
1938,16.17,8.86
1939,16.01,8.76
1940,16.01,8.76
1941,15.57,8.77
1942,16.26,8.73
1943,16.88,8.76
1944,16.05,8.85
1945,16.84,8.58
1946,16.19,8.68
1947,17.08,8.80
1948,16.90,8.75
1949,17.18,8.59
1950,16.86,8.37
1951,15.88,8.63
1952,16.66,8.64
1953,16.41,8.87
1954,15.99,8.56
1955,16.72,8.63
1956,15.34,8.28
1957,15.89,8.73
1958,16.50,8.77
1959,16.46,8.73
1960,16.16,8.58
1961,17.04,8.80
1962,16.09,8.75
1963,15.77,8.86
1964,16.54,8.41
1965,16.02,8.53
1966,16.52,8.60
1967,16.54,8.70
1968,16.47,8.52
1969,15.78,8.60
1970,16.35,8.70
1971,16.07,8.60
1972,15.54,8.50
1973,16.10,8.95
1974,15.89,8.47
1975,16.02,8.74
1976,15.98,8.35
1977,16.07,8.85
1978,16.05,8.69
1979,16.36,8.73
1980,15.86,8.98
1981,16.56,9.17
1982,16.95,8.64
1983,16.83,9.03
1984,15.90,8.69
1985,16.45,8.66
1986,16.61,8.83
1987,16.80,8.99
1988,17.00,9.20
1989,17.43,8.92
1990,17.30,9.23
1991,16.37,9.18
1992,16.35,8.84
1993,16.28,8.87
1994,17.51,9.04
1995,17.33,9.35
1996,16.72,9.04
1997,17.66,9.20
1998,17.15,9.52
1999,17.14,9.29
2000,17.15,9.20
2001,17.27,9.41
2002,17.16,9.57
2003,17.73,9.53
2004,17.12,9.32
2005,16.69,9.70
2006,17.81,9.53
2007,17.24,9.73
2008,16.92,9.43
2009,17.45,9.51
2010,16.51,9.70
2011,17.90,9.52
2012,17.51,9.51
2013,17.00,9.61
